Vancouver,Max of Vancouver,,Vancouver
240,280.6266667,,240
220,280.9088889,,220
200,281.1911111,,200
180,281.4733333,,180
160,281.7555556,,160
140,282.0377778,,140
120,282.32,,120
190,281.9,,190
167,281.2125,,167
145,280.525,,145
122,279.8375,,122
100,279.15,,100
110,278.66,,110
100,278.64,,100
70,278.58,,70
100,278.42,,100
90,278.11,,90
90,278.06,,90
90,278.16,,90
90,278.21,,90
95,278.5825,,95
101,278.955,,101
106,279.3275,,106
112,279.7,,112
30,277.94,,30
80,278.14,,80
100,279.45,,100
80,279.95,,80
70,280.11,,70
60,280,,60
70,280.91,,70
60,280.68,,60
70,280.47,,70
80,280.23,,80
45,279.69,,45
22,279.37,,22
90,279.01,,90
90,278.91,,90
350,278.59,,350
60,278.38,,60
70,277.66,,70
80,277.56,,80
110,277.52,,110
80,277.08,,80
0,276.44,,0
20,276.07,,20
340,276.38,,340
0,276.49,,0
140,277.46,,140
140,279.29,,140
10,280.33,,10
230,281.77,,230
320,281.96,,320
300,282.4,,300
0,282.57,,0
0,282.25,,0
300,281.75,,300
100,281.08,,100
360,279.87,,360
10,279.84,,10
170,279.65,,170
20,279.5,,20
160,279.39,,160
0,279.33,,0
0,278.87,,0
90,278.91,,90
80,278.8,,80
80,278.74,,80
80,278.59,,80
110,278.72,,110
110,278.45,,110
110,278.45,,110
110,278.42,,110
100,278.66,,100
100,278.62,,100
90,278.82,,90
80,279.11,,80
90,279.74,,90
90,280.31,,90
90,280.6,,90
80,280.37,,80
70,280.11,,70
100,279.8,,100
90,279.99,,90
90,279.67,,90
70,280.15,,70
90,280.09,,90
110,280.02,,110
110,279.75,,110
90,279.33,,90
90,279.44,,90
100,279.2,,100
120,279.22,,120
70,279.28,,70
90,279.175,,90
110,279.07,,110
110,279.19,,110
0,279.61,,0
110,279.92,,110
110,279.65,,110
157,279.72,,157
100,279.88,,100
100,280.26,,100
90,280.17,,90
22,280.1,,22
60,280.17,,60
80,279.65,,80
80,279.75,,80
0,279.57,,0
0,279.53,,0
0,279.09,,0
130,278.76,,130
120,278.5,,120
110,278.46,,110
120,278.46,,120
110,278.68,,110
100,278.32,,100
90,278.21,,90
100,277.7,,100
100,277.66,,100
110,278.24,,110
110,278.95,,110
90,280.61,,90
0,281.51,,0
260,282.04,,260
0,282.3,,0
200,282.92,,200
0,282.61,,0
0,282.15,,0
20,280.83,,20
80,280.41,,80
80,280.26,,80
90,280.2,,90
70,280.13,,70
70,280.14,,70
60,280.14,,60
80,279.9,,80
80,279.88,,80
80,279.89,,80
80,279.88,,80
60,279.77,,60
60,279.62,,60
80,279.54,,80
50,279.54,,50
70,279.53,,70
60,279.37,,60
70,279.83,,70
50,280.38,,50
90,280.94,,90
90,281.49,,90
100,281.87,,100
100,281.6,,100
100,281.18,,100
120,280.87,,120
90,280.39,,90
90,280.35,,90
50,280.26,,50
90,280.14,,90
0,279.88,,0
110,279.94,,110
100,280.03,,100
120,279.88,,120
100,279.88,,100
110,279.8,,110
